Contact Type,Contact,Street Address,Phone Number,Notes,Mapped location
Teen Services,The Center for Refugees and Immigrants,"295 Plus Park Blvd., Suite 102",(615) 366-6868,after-school tutoring,"295 Plus Park Blvd., Suite 102
Nashville, TN
(36.127161, -86.725002)"
Lawyers (Divorce),Monika Ridley,,(615) 499-9955,,"Nashville, TN
(36.166687, -86.779932)"
GED/Education,H.U.G.G.S.,"3250 Dickerson Pike, Suite 211",(615) 262-0063,men/women who've been incarcerated,"3250 Dickerson Pike, Suite 211
Nashville, TN
(36.234817, -86.758362)"
Food,Napier Community Center,73 Fairfield Ave.,(615) 256-4474,emergency food assistance,"73 Fairfield Ave.
Nashville, TN
(36.15078, -86.756855)"
Rent/Mortgage/Utility Help,Servus CDC,,(615) 865-9737,Mortgage Assistance,"Nashville, TN
(36.166687, -86.779932)"
Counseling,Nashville Alliance for Mentall Illness (NAMI) Davidson County,,(615) 891-4724,,"Nashville, TN
(36.166687, -86.779932)"
Students,Title IX Office @ Belmont - Molly Zlock,1900 Belmont Blvd. Beaman 200,(615) 460-6407,Belmont Students,"1900 Belmont Blvd. Beaman 200
Nashville, TN
(36.135102, -86.795604)"
Job Training,Tennessee Vocational Rehabilitation,88 Hermitage Ave.,(615) 741-1606,people with disabilities only,"88 Hermitage Ave.
Nashville, TN
(36.154994, -86.763919)"
Crisis Info Resources,Family and Children's Services,"1704 Heiman St, 37208",(615) 320-0591 (crisis: 800-879-1999),counseling,"1704 Heiman St, 37208
Nashville, TN
(36.171885, -86.805388)"
Job Training,Nashville Opportunities Industrialization Center,1819 Charlotte Ave.,(615) 248-2906,,"1819 Charlotte Ave.
Nashville, TN
(36.157763, -86.800779)"
Rehab - Drug/Alcohol,Hope Center @ Nashville Rescue Mission,1716 Rosa L. Parks Blvd.,(615) 255-2475,women 18+ and children,"1716 Rosa L. Parks Blvd.
Nashville, TN
(36.181595, -86.796917)"
Food,James Avenue Church of Christ,613 James Ave,(615) 352-3620,community food bank-pantry,"613 James Ave
Nashville, TN
(36.159057, -86.876345)"
ESL Classes,Belmont United Methodist Church,2007 Acklen Ave.,(615) 383-0832,,"2007 Acklen Ave.
Nashville, TN
(36.135695, -86.800243)"
Children's Services,Families First (DHS),1000 2nd Ave. N.,(615) 532-4000,,"1000 2nd Ave. N.
Nashville, TN
(36.174455, -86.783049)"
Teen Services,"Youth Villages, Nashville",3310 Perimeter Hill Dr.,(615) 250-7200,ages 12-22,"3310 Perimeter Hill Dr.
Nashville, TN
(36.08481, -86.692155)"
Christmas,The Last-Minute Toy Store,6018 New York Ave.,(615) 463-0191,"December 18-21, starting at 6:30 am","6018 New York Ave.
Nashville, TN
(36.166511, -86.859579)"
Immigrant/Refugee,Immigrant Legal Clinic,"2 International Plaza Dr., Suite 425",(615) 386-9406 or 800-289-9018,Tues/Thurs: 8:30 am - 12:30 pm,"2 International Plaza Dr., Suite 425
Nashville, TN
(36.126946, -86.694551)"
Children's Services,East Nashville Cooperative Ministry,807 Main St.,(615) 244-7312,for diapers,"807 Main St.
Nashville, TN
(36.175584, -86.758198)"
Housing,Centerstone,,(615) 251-9791 (crisis: 800-681-7444),,"Nashville, TN
(36.166687, -86.779932)"
ESL Classes,Hillcrest United Methodist Church,5112 Raywood Ln.,(615) 832-0157,,"5112 Raywood Ln.
Nashville, TN
(36.057378, -86.713498)"
Medical/Dental,Dispensary of Hope,,1-888-428-HOPE,for help filling perscriptions,"Nashville, TN
(36.166687, -86.779932)"
Counseling,The Refuge Center for Counseling,"103 Forrest Crossing Blvd., #102",(615) 591-5262,,"103 Forrest Crossing Blvd., #102
Franklin, TN
(35.90694, -86.840085)"
Lawyers (Immigration),Laura Stewart,,(615) 783-2876,,"Nashville, TN
(36.166687, -86.779932)"
Medical/Dental,Nashville CARES,633 Thompson Ln.,(615) 259-4866,for patients with HIV/AIDS,"633 Thompson Ln.
Nashville, TN
(36.111043, -86.753986)"
GED/Education,Adult Literacy Council,"4805 Park Ave., Suite 305",(615) 298-8060,,"4805 Park Ave., Suite 305
Nashville, TN
(36.150961, -86.844705)"
Immigrant/Refugee,Community Legal Center,910 Vance,901-543-3395,,"910 Vance
Memphis, TN
(35.133569, -90.031834)"
Children's Services,Sexual Assault Center,101 French Landing Dr.,(615) 259-9055 (crisis: 800-879-1999),,"101 French Landing Dr.
Nashville, TN
(36.18911, -86.79702)"
Clothing,McKendree United Methodist Church,523 Church St.,(615) 271-2600,,"523 Church St.
Nashville, TN
(36.162838, -86.780911)"
Food,Knowles Foundation/Meals on Wheels,"523 Main Stream Dr, Suite A",(615) 880-2292,community food bank-pantry,"523 Main Stream Dr, Suite A
Nashville, TN
(36.19983, -86.809691)"
Food,Catholic Charities North Nashville,2209 Buchanan St,(615) 352-3087,community food bank-pantry,"2209 Buchanan St
Nashville, TN
(36.180202, -86.814092)"
Food,City of Life Corporation,4300 Clarksville Pike,(615) 876-8740,community food bank-pantry,"4300 Clarksville Pike
Nashville, TN
(36.220032, -86.836934)"
Job Training,Room in the Inn,705 Drexel St.,(615) 251-7019,,"705 Drexel St.
Nashville, TN
(36.152774, -86.778424)"
Phone,TN Coalition against Domestic and Sexual Violence,"2 International Plaza, Suite 425",(615) 386-9406,cell phones for DV victims with 100 mins/month,"2 International Plaza, Suite 425
Nashville, TN
(36.126946, -86.694551)"
Children's Services,Court-Appointed Special Advocates for Children (CASA),601 Woodland St.,(615) 425-2383,,"601 Woodland St.
Nashville, TN
(36.172637, -86.762639)"
Lawyers (Divorce),Brad H. Frakes,,(615) 248-7854,,"Nashville, TN
(36.166687, -86.779932)"
Students,Coordinator of Security Programs @ Belmont,1900 Belmont Blvd.,(615) 460-5661,"Kayla Jerome, Belmont students only","1900 Belmont Blvd.
Nashville, TN
(36.135102, -86.795604)"
Rehab - Drug/Alcohol,Vanderbilt Addiction Center,1601 23rd Ave. S.,(615) 327-7200,,"1601 23rd Ave. S.
Nashville, TN
(36.13887, -86.802976)"
Crisis Info Resources,United Way,,(615) 211,info only,"Nashville, TN
(36.166687, -86.779932)"
Job Training,World Relief,"1655 Murfreesboro Pike, Suite G",(615) 833-7735,refugees only,"1655 Murfreesboro Pike, Suite G
Nashville, TN
(36.104348, -86.66883)"
Rent/Mortgage/Utility Help,Metro Action Commission,800 2nd Ave. N.,(615) 862-8860,"Rent,Utilities&Mortgage Assisstance","800 2nd Ave. N.
Nashville, TN
(36.171829, -86.781357)"
Legal Assistance,Dial-a-Lawyer,,(615) 242-9272,free advice 1st Tues. of month 6pm - 8pm,"Nashville, TN
(36.166687, -86.779932)"
Transportation Services,Disabled American Veteran Medical Transport,110 9th Ave. S.,(615) 695-6384,veterans to/from VA medical facilities only,"110 9th Ave. S.
Nashville, TN
(36.157699, -86.782961)"
Children's Services,Caldwell Family Resource Center,401 Meridian St.,(615) 291-6021,,"401 Meridian St.
Nashville, TN
(36.179132, -86.769419)"
Job Training,Tennessee Career Center at Nashville,665 Mainstream Dr.,(615) 253-8920,,"665 Mainstream Dr.
Nashville, TN
(36.196219, -86.817807)"
ESL Classes,Salvation Army,631 Dickerson Rd.,(615) 242-0411,,
Children's Services,Big Brothers Big Sisters of Nashville,"1704 Charlotte Ave., Suite 130",(615) 329-9191,,"1704 Charlotte Ave., Suite 130
Nashville, TN
(36.15849, -86.798893)"
Clothing,Christian Community Outreach Center,209 Bridgeway Ave,(615) 847-4996,37138 zip code only. Mon - Fri 10:00 am - 1:00 pm,"209 Bridgeway Ave
Nashville, TN
(36.100594, -86.718128)"
Food,Berean Life Center,4825 Fairmeade Court,(615) 876-3314,community food bank-pantry,"4825 Fairmeade Court
Nashville, TN
(36.224436, -86.834879)"
Medical/Dental,United Neighborhood Health Services,,(615) 620-UNHS,numerous locations throughout Davidson County,"Nashville, TN
(36.166687, -86.779932)"
Lawyers (Immigration),Bruce Buchanan,,(615) 345-0266,,"Nashville, TN
(36.166687, -86.779932)"
Rehab - Drug/Alcohol,Bethesda Workshop,3710 Franklin Pike,(615) 467-5610 or 866-464-4325,for sex addiction,"3710 Franklin Pike
Nashville, TN
(36.106346, -86.772868)"
ESL Classes,Nashville International Center for Empowerment,"417 Welshwood Dr, Ste. 100",(615) 315-9681,,"417 Welshwood Dr, Ste. 100
Nashville, TN
(36.082424, -86.72939)"
Senior/Disabled Housing,Senior Emergency Home Repair Program,,(615) 862-8828,,"Nashville, TN
(36.166687, -86.779932)"
Children's Services,Regional Intervention Program (RIP),3411 Belmont Blvd.,(615) 963-1177,classes for concerned parents,"3411 Belmont Blvd.
Nashville, TN
(36.113448, -86.79997)"
GED/Education,Gap Community Development Resources,"129 W. Fowlkes St., Suite 137",(615) 591-4345,,"129 W. Fowlkes St., Suite 137
Franklin, TN
(35.918462, -86.876396)"
Rehab - Drug/Alcohol,MPHD Behavioral Health Services,2500 Charlotte Ave.,(615) 340-2172,screening/referrals for substance use/abuse,"2500 Charlotte Ave.
Nashville, TN
(36.154963, -86.81334)"
Food,Trinity Lane United Methodist Church,204 E Trininty Lane,(615) 364-6415,Kids Food Bank and Meals,"204 E Trininty Lane
Nashville, TN
(36.205653, -86.765811)"
Rehab - Drug/Alcohol,Mending Hearts,,(615) 385-1696,women addicts only; must be clean 72 hours,"Nashville, TN
(36.166687, -86.779932)"
Counseling,H.U.G.G.S.,"3250 Dickerson Pike, Suite 211",(615) 262-0063,men/women who've been incarcerated,"3250 Dickerson Pike, Suite 211
Nashville, TN
(36.234817, -86.758362)"
Legal Assistance,Workers' Dignity Project/Dignidad Obrera,3753 Nolensville Pike,(615) 601-2820,low-income labor rights,"3753 Nolensville Pike
Nashville, TN
(36.091967, -86.735479)"
Transportation Services,Nashville MTA AccessRide,,(615) 880-3970,for people with disabilities; application/interview required,"Nashville, TN
(36.166687, -86.779932)"
Counseling,Family and Children's Services,1704 Heiman St,(615) 320-0591 (crisis: (615) 244-7444),,"1704 Heiman St37208
(36.171885, -86.805388)"
Rent/Mortgage/Utility Help,H.U.G.G.S.,"3250 Dickerson Pike, Suite 211",(615) 262-0063,men/women who've been incarcerated,"3250 Dickerson Pike, Suite 211
Nashville, TN
(36.234817, -86.758362)"
Food,McFerrin Center,310 Grace St,(615) 862-8458,Kids Food Bank and Meals,"310 Grace St
Nashville, TN
(36.182551, -86.767104)"
Teen Services,Court-Appointed Special Advocates for Children,601 Woodland St.,(615) 425-2383,,"601 Woodland St.
Nashville, TN
(36.172637, -86.762639)"
Senior/Disabled Housing,James Robertson Apartments,,(615) 255-0402,housing,"Nashville, TN
(36.166687, -86.779932)"
Food,Salvation Army Laotian Corps.,525 Paragon Mills Rd.,(615) 837-2444,emergency food assistance,"525 Paragon Mills Rd.
Nashville, TN
(36.086329, -86.725431)"
Counseling,Lioness Foundation,,(615) 600-1955,has weekly Support Group,"Nashville, TN
(36.166687, -86.779932)"
Lawyers (Divorce),Karen Cain,,(615) 256-2806,,"Nashville, TN
(36.166687, -86.779932)"
Students,Title IX @ MTSU - Marian Wilson,1301 East Main Street,(615) 898-2185,MTSU students,"1301 East Main Street
Murfreesboro, TN
(35.848547, -86.364707)"
Lawyers (Immigration),Divyesh Gopal,,(615) 200-8472,,"Nashville, TN
(36.166687, -86.779932)"
Children's Services,St. Luke's Family Resource Center,5601 New York Ave.,(615) 350-1131 or (615) 350-7893,,"5601 New York Ave.
Nashville, TN
(36.165187, -86.855605)"
Immigrant/Refugee,Southern Migrant Legal Services,"311 Plus Park Blvd., Suite 135",(615) 750-1200,migrants/season farm workers only,"311 Plus Park Blvd., Suite 135
Nashville, TN
(36.130361, -86.725354)"
Children's Services,Charles Davis Foundation,"648 Clayburn, Napier Center",(615) 254-0396,children in J.C. Napier homes,
GED/Education,Nashville Rescue Mission (men),639 Lafayette St.,(615) 255-2475,,"639 Lafayette St.
Nashville, TN
(36.153679, -86.776712)"
ESL Classes,Cohn Adult Learning Center,4805 Park Ave.,(615) 259-8400,,"4805 Park Ave.
Nashville, TN
(36.150961, -86.844705)"
Job Training,Nashville Internat'l Center for Empowerment (NICE),,(615) 315-9681,,"Nashville, TN
(36.166687, -86.779932)"
Medical/Dental,Faith Family Medical Clinic,326 21st Ave. N.,(615) 341-0808,for uninsured,"326 21st Ave. N.
Nashville, TN
(36.155528, -86.804982)"
Food,Eighteenth Avenue Center,1811 Osage Street,(615) 320-1131,community food bank-pantry,"1811 Osage Street
Nashville, TN
(36.177115, -86.809952)"
Children's Services,Department of Children's Services,,877-237-0004,,"Nashville, TN
(36.166687, -86.779932)"
Counseling,Free Yoga for Survivors,2310 Elliot Ave.,626-310-5159,practicalhappines@yahoo.com,"2310 Elliot Ave.
Nashville, TN
(36.127909, -86.779146)"
Medical/Dental,Community Helpers,1453B Hope Way,(615) 898-0617,emergency tooth extractions,"1453B Hope Way
Murfreesboro, TN
(35.871772, -86.424459)"
Food,Bordeaux Community Development,2312 Lloyd Ave,(615) 259-1196,community food bank-pantry,"2312 Lloyd Ave
Nashville, TN
(36.202636, -86.831589)"
Crisis Info Resources,TN Coalition to End Domestic and Sexual Violence,"2 International Plaza Dr., Suite 425",(615) 386-9406,,"2 International Plaza Dr., Suite 425
Nashville, TN
(36.126946, -86.694551)"
Medical/Dental,VA Medical Center,1310 24th Ave. S.,(615) 327-4751,veterans only,"1310 24th Ave. S.
Nashville, TN
(36.14091, -86.804989)"
Children's Services,Jewish Family Services,"801 Percy Warner Blvd., Suite 103",(615) 354-1644,Jewish families only; diapers,"801 Percy Warner Blvd., Suite 103
Nashville, TN
(36.08364, -86.89032)"
Children's Services,Metro Nashville Domestic Violence Division,811 2nd Ave. S.,(615) 880-3000 (after 10 pm: (615) 862-8600),,"811 2nd Ave. S.
Nashville, TN
(36.153134, -86.769505)"
Clothing,Catholic Charities of TN,30 White Bridge Road,(615) 760-4436,children/baby clothing- call for appointment,"30 White Bridge Road
Nashville, TN
(36.127571, -86.85122)"
Housing,Transitions Housing,,(615) 227-6865,for recovering addicts,"Nashville, TN
(36.166687, -86.779932)"
Crisis Info Resources,YWCA,1608 Woodmont Blvd.,(615) 269-9922,,"1608 Woodmont Blvd.
Nashville, TN
(36.113196, -86.801619)"
Children's Services,Eastminster Presbyterian Church,3930 Gallatin Road,(615) 262-5531,school supplies,"3930 Gallatin Road
Nashville, TN
(36.21842, -86.728049)"
Lawyers (Divorce),Joshua Strickland,,(615) 299-7423,,"Nashville, TN
(36.166687, -86.779932)"
Food,WOMEN,"417 Welshwood Dr, Suite 303",(615) 256-3885,community food bank-pantry,"417 Welshwood Dr, Suite 303
Nashville, TN
(36.082424, -86.72939)"
GED/Education,Metro Action Commission,800 2nd Ave. N.,(615) 862-8860,,"800 2nd Ave. N.
Nashville, TN
(36.171829, -86.781357)"
Men's Resources,Anchor Home @ Nashville Rescue Mission,639 Lafayette St.,(615) 255-2475,"alcohol/substance abuse rehab, men 18-25 only","639 Lafayette St.
Nashville, TN
(36.153679, -86.776712)"
Students,Psychological and Counseling Center @ Vanderbilt,2015 Terrace Place,(615) 322-2571,"Vanderbilt Students, online screening required","2015 Terrace Place
Nashville, TN
(36.149818, -86.799806)"
Food,Mobile Loaves and Fishes,3605 Hillsboro Rd,(615) 460-0172,community food bank-pantry,
Rent/Mortgage/Utility Help,Social Security Benefits,120 Athens Way,877-808-5461,,"120 Athens Way
Nashville, TN
(36.197794, -86.798649)"
Health Insurance,Health Assist Tennessee,1704 Heiman St,(615) 313-9972,,"1704 Heiman St
Nashville, TN
(36.171885, -86.805388)"
Medical/Dental,Magdalene House,5122 Charlotte Pike,(615) 298-1140,victims of abuse/trafficking/addiction/prostitution,"5122 Charlotte Pike
Nashville, TN
(36.151929, -86.849518)"
Job Training,H.U.G.G.S.,"3250 Dickerson Pike, Suite 211",(615) 262-0063,men/women who've been incarcerated,"3250 Dickerson Pike, Suite 211
Nashville, TN
(36.234817, -86.758362)"
Teen Services,HOPE program (Trauma Counseling for Children),,(615) 352-3087 x223,counseling for children and teens aged 5-18,"Nashville, TN
(36.166687, -86.779932)"
Clothing,Granny White Church of Christ,3805 Granny White Pike,(615) 292-6679,coats in winter,"3805 Granny White Pike
Nashville, TN
(36.107065, -86.794423)"
Food,Olivet Missionary Baptist Church,144 Ewing Dr.,(615) 227-8100,emergency food assistance,"144 Ewing Dr.
Nashville, TN
(36.230418, -86.764901)"
Housing,"Salvation Army, Center of Hope",631 Dickerson Rd.,(615) 242-0411,,
ESL Classes,Nashville Adult Literacy Council,"4805 Park Ave., Suite 305",(615) 298-8060,,"4805 Park Ave., Suite 305
Nashville, TN
(36.150961, -86.844705)"
Immigrant/Refugee,Nashville International Center for Empowerment,"417 Welshwood Drive, Ste. 1000",(615) 315-9681,,"417 Welshwood Drive, Ste. 100037211
(36.082424, -86.72939)"
Rehab - Drug/Alcohol,Renewal House,,(615) 255-5222 x112,for women addicts and their children only,"Nashville, TN
(36.166687, -86.779932)"
Lawyers (Immigration),Dawn Dobbs,,(615) 279-5620,,"Nashville, TN
(36.166687, -86.779932)"
Men's Resources,Welcome Home Ministries,,(615) 309-7087,,"Nashville, TN
(36.166687, -86.779932)"
Medical/Dental,Vanderbilt Comprehensive Care Center,719 Thompson Ln. (100 Oaks),(615) 875-5111,for patients with HIV/AIDS,"719 Thompson Ln. (100 Oaks)
Nashville, TN
(36.111899, -86.763171)"
Children's Services,McGruder Family Resource Center,,,,"Nashville, TN
(36.166687, -86.779932)"
Food,Alameda Christian Church,4006 Ashland City Highway,(615) 742-1194,community food bank-pantry,"4006 Ashland City Highway
Nashville, TN
(36.199029, -86.845309)"
GED/Education,The HELP Center,"3918 Dickerson Rd., Suite 110",(615) 349-8349,for the previously incarcerated,
ESL Classes,Belmont International English,2007 Acklen Ave.,(615) 352-3191,,"2007 Acklen Ave.
Nashville, TN
(36.135695, -86.800243)"
Children's Services,Bordeaux Northwest Family Resource Center,1910 S. Hamilton Rd.,(615) 291-6355 or (615) 291-6313,,"1910 S. Hamilton Rd.
Nashville, TN
(36.191753, -86.832991)"
Children's Services,Tennessee Disability Pathfinder,110 Magnolia Circle,800-640-4636,assistance getting disability resources,"110 Magnolia Circle
Nashville, TN
(36.14356, -86.79908)"
Medical/Dental,Vine Hill Clinic,601 Benton Ave.,(615) 292-9770,,"601 Benton Ave.
Nashville, TN
(36.131745, -86.76899)"
Food,Goodlettsville Help Center,108 Depot St.,(615) 859-4706,emergency food assistance; 37072 only,"108 Depot St.
Goodlettsville,, TN
(36.326689, -86.713165)"
Food,DHS - Food Stamps,1000 2nd Ave. N.,(615) 532-4000 or (615) 743-2000,,"1000 2nd Ave. N.
Nashville, TN
(36.174455, -86.783049)"
Children's Services,Catholic Charities of Tennessee,,(615) 352-3087,for diapers,"Nashville, TN
(36.166687, -86.779932)"
Medical/Dental,Pharmacy Home Delivery,www.pharmhd.com,1-800-8962-1456,,
Disability,Tennessee Disability Pathfinders,,800-640-4636,www.familypathfinder.org,"Nashville, TN
(36.166687, -86.779932)"
Lawyers (Divorce),Jeffrey Levy,,(615) 627-4677,,"Nashville, TN
(36.166687, -86.779932)"
Immigrant/Refugee,Worker's Dignity Project/Dignidad Obrera,3753 Nolensville Pike,(615) 601-2820,low-income labor rights,"3753 Nolensville Pike
Nashville, TN
(36.091967, -86.735479)"
Food,Nashville Drug Court Foundation,"1300 Division St, Suite 107",(615) 862-4243,community food bank-pantry,"1300 Division St, Suite 107
Nashville, TN
(36.151477, -86.787816)"
Lawyers (Immigration),Yvette Sebelist,,(615) 345-0266,,"Nashville, TN
(36.166687, -86.779932)"
Counseling,Bridges (Williamson Co.),,(615) 599-5777,has weekly Support Group,"Nashville, TN
(36.166687, -86.779932)"
GED/Education,Sexual Assault Center,101 French Landing Dr.,(615) 259-9055 (crisis: 800-879-1999),,"101 French Landing Dr.
Nashville, TN
(36.18911, -86.79702)"
GED/Education,Woodbine Community Organization,222 Oriel Ave.,(615) 833-9580,,"222 Oriel Ave.
Nashville, TN
(36.122144, -86.744217)"
Childcare,Fannie Battle Day Home,108 Chapel Ave.,(615) 228-6745,sliding scale fees,"108 Chapel Ave.
Nashville, TN
(36.183284, -86.735927)"
Immigrant/Refugee,Justice for our Neighbors,2195 Nolensville Rd.,(615) 835-2512,,
Crisis Info Resources,Mental Health Cooperative,,(615) crisis: 726-0125,,"Nashville, TN
(36.166687, -86.779932)"
Crisis Info Resources,Tennessee Bureau of Investigation (TBI),,1-800-TBI-FIND,,"Nashville, TN
(36.166687, -86.779932)"
Job Training,Project Return,806 4th Ave. S.,(615) 327-9654,convicted felons/serious misdemeanors only,"806 4th Ave. S.
Nashville, TN
(36.151886, -86.771276)"
Students,Title IX Office @ UTK - Ashley Blamey,1817 Melrose Ave,865-974-9620,UTK students,"1817 Melrose Ave
Knoxville, TN
(35.953436, -83.933025)"
GED/Education,Monroe Harding,523 Church Street (McKendree UMC),(615) 226-3614,For Ages 16-26,"523 Church Street (McKendree UMC)
Nashville, TN
(36.162838, -86.780911)"
Legal Assistance,Metro Nashville Domestic Violence Division,811 2nd Ave. S.,(615) 880-3000 (after 10 pm: (615) 862-8600),,"811 2nd Ave. S.
Nashville, TN
(36.153134, -86.769505)"
Clothing,Eastminster Presbyterian Church,3930 Gallatin Road,(615) 262-5531,school supplies also,"3930 Gallatin Road
Nashville, TN
(36.21842, -86.728049)"
Food,Jewish Family Services,"801 Percy Warner Blvd., Suite 103",(615) 356-4234,,"801 Percy Warner Blvd., Suite 103
Nashville, TN
(36.08364, -86.89032)"
Pet Resources,Southern Alliance for People and Animal Welfare,,(615) 474-8390,for homeless pet owners or pet owners living at/below poverty level,"Nashville, TN
(36.166687, -86.779932)"
Rent/Mortgage/Utility Help,Salvation Army,631 Dickerson Rd.,(615) 242-0411,,
Medical/Dental,Medicare Information,,1-877-801-0044,,"Nashville, TN
(36.166687, -86.779932)"
Teen Services,Bradford Health Services,1410 Donelson Pike,(615) 291-2956,teens with alcohol/drug dependency treatment program,"1410 Donelson Pike
Nashville, TN
(36.096064, -86.677564)"
Counseling,Mental Health Cooperative Outreach,610 Gallatin Pike South,(615) 862-5868,2:30 p.m. Tuesdays,"610 Gallatin Pike South
Madison, TN
(36.257214, -86.713984)"
Housing,Kurdish Human Rights Watch,2805 Foster Ave.,(615) 331-1956,,"2805 Foster Ave.
Nashville, TN
(36.113058, -86.742862)"
Medical/Dental,Hope Clinic for Women,1810 Hayes St.,(615) 321-0005,,"1810 Hayes St.
Nashville, TN
(36.153579, -86.797633)"
Medical/Dental,Mission Clinic,639 Lafayette St.,(615) 620-7759,homeless only with letter from shelter,"639 Lafayette St.
Nashville, TN
(36.153679, -86.776712)"
Rehab - Drug/Alcohol,Court Foundation Center,"417 Welshwood Dr., Suite 201",(615) 866-7727,free for clients of the JCAC,"417 Welshwood Dr., Suite 201
Nashville, TN
(36.082424, -86.72939)"
Job Training,Metro Action Commission,800 2nd Ave. N.,(615) 862-8860,,"800 2nd Ave. N.
Nashville, TN
(36.171829, -86.781357)"
Men's Resources,Nashville Rescue Mission,639 Lafayette St.,(615) 255-2475,"men's shelter, GED classes, job training","639 Lafayette St.
Nashville, TN
(36.153679, -86.776712)"
Teen Services,Homework Hotline,,(615) 298-6636,available in multiple languages; from August to May only,"Nashville, TN
(36.166687, -86.779932)"
Rehab - Drug/Alcohol,Middle Tennessee Treatment Center,2410 Charlotte Ave.,(615) 321-2575,,"2410 Charlotte Ave.
Nashville, TN
(36.155475, -86.810988)"
Crisis Info Resources,Aging and Disability Resource Connection,,(615) 255-1010,info for elderly/disabled people,"Nashville, TN
(36.166687, -86.779932)"
Children's Services,Child Protective Services,900 2nd Ave. N.,877-237-0004,to report child abuse,"900 2nd Ave. N.
Nashville, TN
(36.173287, -86.782277)"
Children's Services,"WIC (Women, Infants, Children)",311 23rd Ave. N.,(615) 340-5616,,"311 23rd Ave. N.
Nashville, TN
(36.152408, -86.807231)"
ESL Classes,Conexión Américas,2195 Nolensville Pike,(615) 320-5152,Childcare available for parents in class. Ask for Rachel Vailati.,"2195 Nolensville Pike
Nashville, TN
(36.126647, -86.753004)"
Food,Limestone Baptist Church,1613 W. Main St.,(615) 794-3037,emergency food assistance; emergencies: 717-7950,"1613 W. Main St.
Franklin, TN 37064
(35.910407, -86.891606)"
Clothing,Nashville Rescue Mission,639 Lafayette St.,(615) 255-2475,,"639 Lafayette St.
Nashville, TN
(36.153679, -86.776712)"
Christmas,"St. Joseph #1 Lodge, Kirkpatrick Center",620 S. 9th St.,(615) 403-3617,residents of 37206,"620 S. 9th St.
Nashville, TN
(36.168546, -86.753074)"
Food,Angel's Outreach Development,2111 Buena Vista Pike,(615) 256-4710,community food bank-pantry,"2111 Buena Vista Pike
Nashville, TN
(36.194778, -86.830197)"
Housing,Habitat for Humanity for Greater Nashville,"2950 Kraft Dr., Suite 100",(615) 254-HOME (4663),,"2950 Kraft Dr., Suite 100
Nashville, TN
(36.106446, -86.758565)"
Rehab - Drug/Alcohol,Centerstone,1101 6th Ave. N.,(615) 463-6600,,"1101 6th Ave. N.
Nashville, TN
(36.17426, -86.788932)"
Senior/Disabled Housing,Metro Social Services - Senior Nutrition Program,800 2nd Ave. N.,(615) 880-2292,hot/frozen meal provided daily for older adults,"800 2nd Ave. N.
Nashville, TN
(36.171829, -86.781357)"
Lawyers (Divorce),Patricia Campbell,,(615) 259-3167,,"Nashville, TN
(36.166687, -86.779932)"
Counseling,Elam Mental Health Center,"1005 Dr. D.B. Todd Jr. Blvd., Suite 2021A",(615) 327-6000,,"1005 Dr. D.B. Todd Jr. Blvd., Suite 2021A
Nashville, TN
(36.165056, -86.804839)"
Counseling,"Depression, Bipolar, & Manic Depressive Alliance",,(615) 228-4810,,"Nashville, TN
(36.166687, -86.779932)"
Food,St. Paul's Lutheran Church,1628 8th Ave. North,(615) 242-3156,emergency food assistance,"1628 8th Ave. North
Nashville, TN
(36.180317, -86.796065)"
Lawyers (Immigration),Brent Hessel,,(615) 379-8472,,"Nashville, TN
(36.166687, -86.779932)"
Rent/Mortgage/Utility Help,Financial Empowerment Center,,(615) 748-3620,free one-on-one financial counseling,"Nashville, TN
(36.166687, -86.779932)"
Job Training,Nashville Career Advancement Center (NCAC),"621 Mainstream Dr., Suite 210",(615) 862-8890,,"621 Mainstream Dr., Suite 210
Nashville, TN
(36.198531, -86.815346)"
Crisis Info Resources,Sexual Assault Center,101 French Landing Dr.,(615) 259-9055,,"101 French Landing Dr.
Nashville, TN
(36.18911, -86.79702)"
Rent/Mortgage/Utility Help,Room in the Inn,705 Drexel St.,(615) 251-7019,,"705 Drexel St.
Nashville, TN
(36.152774, -86.778424)"
Job Training,Metro Nashville Workforce Development Program,"1215 9th Ave. N., Suite 202",(615) 726-5867,,"1215 9th Ave. N., Suite 202
Nashville, TN
(36.174621, -86.793565)"
Counseling,YWCA,1608 Woodmont Blvd.,(615) 269-9922 (crisis: (615) 242-1199),"Support Groups: Mon. 6-7pm 2334 Herman St., Tues. 6:30-7:30pm 1608 Woodmont Blvd., & Thurs.  630-730pm","1608 Woodmont Blvd.
Nashville, TN
(36.113196, -86.801619)"
Immigrant/Refugee,Adult Literacy Council,,(615) 298-8060,,"Nashville, TN
(36.166687, -86.779932)"
